part_number,rank,status,manufacturer,mpn,supplier,supplier_pn,source_url,unit_price,currency,price_qty,price_date,price_url,notes
GEM-13210,1,SELECTED,NVIDIA,900-13834-0080-000,,,https://www.arrow.com/en/products/900-13834-0080-000/nvidia.html,,,,,,"Jetson T5000 module (AGX Thor). Selected in hardware/electrical 4. Module price not public in any source found on 2026-09-26. USD 3,499 is the developer kit 945-14070-0080-000, which contains this module; it is not this part."
GEM-13111,1,CANDIDATE,Amprius,,,,https://amprius.com/solutions/sicore/,,,,,,SiCore 450 Wh/kg. No specific cell part number or public price found on 2026-09-26.
GEM-13111,2,CANDIDATE,SOLiTHOR,,,,https://www.solithor.com/en/news/1259/press-releases/solithor-achieves-key-energy-density-milestone-while-further-validating-alternative-pathway-to-manufacture-scalable-solid-state-batteries,,,,,,"Solid-state pouch, 465 Wh/kg at stack level (hardware/electrical 3). Not a product listing."
GEM-20300,1,CANDIDATE,CubeMars,AKH70-16 V1.0 KV41,,,https://www.cubemars.com/product/akh70-16-v-1-0-kv41-hollow-shaft-planetary-actuator.html,,,,,,"85 Nm peak, 879 g, 88.7 Nm/kg; covers the hip yaw torque. Only if D-2 procures modules. Planetary, against the cycloidal class hardware/mechanical 2 assigns. Identified from search results; product page and store unreachable from this environment on 2026-09-26, price not found."
GEM-20600,1,CANDIDATE,CubeMars,AKH70-16 V1.0 KV41,,,https://www.cubemars.com/product/akh70-16-v-1-0-kv41-hollow-shaft-planetary-actuator.html,,,,,,"85 Nm peak, 879 g, 88.7 Nm/kg; covers the ankle roll torque. Only if D-2 procures modules. Planetary; no class assigned in hardware/mechanical 2. Identified from search results; product page and store unreachable from this environment on 2026-09-26, price not found."
GEM-21100,1,CANDIDATE,CubeMars,AKH70-16 V1.0 KV41,,,https://www.cubemars.com/product/akh70-16-v-1-0-kv41-hollow-shaft-planetary-actuator.html,,,,,,"85 Nm peak, 879 g, 88.7 Nm/kg; covers the shoulder yaw torque. Only if D-2 procures modules. Identified from search results; product page and store unreachable from this environment on 2026-09-26, price not found."
GEM-21300,1,CANDIDATE,CubeMars,AKH70-16 V1.0 KV41,,,https://www.cubemars.com/product/akh70-16-v-1-0-kv41-hollow-shaft-planetary-actuator.html,,,,,,"85 Nm peak, 879 g, 88.7 Nm/kg; covers the wrist yaw torque. Only if D-2 procures modules. Planetary, against the harmonic class hardware/mechanical 2 assigns. Identified from search results; product page and store unreachable from this environment on 2026-09-26, price not found."
GEM-21400,1,CANDIDATE,CubeMars,AKH70-16 V1.0 KV41,,,https://www.cubemars.com/product/akh70-16-v-1-0-kv41-hollow-shaft-planetary-actuator.html,,,,,,"85 Nm peak, 879 g, 88.7 Nm/kg; covers the wrist pitch torque. Only if D-2 procures modules. Planetary, against the harmonic class hardware/mechanical 2 assigns. Identified from search results; product page and store unreachable from this environment on 2026-09-26, price not found."
GEM-21500,1,CANDIDATE,CubeMars,AKH70-16 V1.0 KV41,,,https://www.cubemars.com/product/akh70-16-v-1-0-kv41-hollow-shaft-planetary-actuator.html,,,,,,"85 Nm peak, 879 g, 88.7 Nm/kg; covers the wrist roll torque. Only if D-2 procures modules. Planetary, against the harmonic class hardware/mechanical 2 assigns. Identified from search results; product page and store unreachable from this environment on 2026-09-26, price not found."
GEM-21600,1,CANDIDATE,CubeMars,AKH70-16 V1.0 KV41,,,https://www.cubemars.com/product/akh70-16-v-1-0-kv41-hollow-shaft-planetary-actuator.html,,,,,,"85 Nm peak, 879 g, 88.7 Nm/kg; covers the neck yaw torque. Only if D-2 procures modules. Planetary, against the harmonic class hardware/mechanical 2 assigns. Identified from search results; product page and store unreachable from this environment on 2026-09-26, price not found."
GEM-21700,1,CANDIDATE,CubeMars,AKH70-16 V1.0 KV41,,,https://www.cubemars.com/product/akh70-16-v-1-0-kv41-hollow-shaft-planetary-actuator.html,,,,,,"85 Nm peak, 879 g, 88.7 Nm/kg; covers the neck pitch torque. Only if D-2 procures modules. Planetary, against the harmonic class hardware/mechanical 2 assigns. Identified from search results; product page and store unreachable from this environment on 2026-09-26, price not found."
