id,subsystem,item,spec_ref,requirement,qty,qty_basis,maturity,level,selection,manufacturer,part_number,source_url,unit_price,currency,price_date,price_url,notes
ACT-01,actuation,"Joint actuator, hip_pitch",spec 02.6; hardware/kinematics.md 1,"230 Nm peak; QDD module, >=75 Nm/kg peak over module mass",2,actuator_sizing.py at 130 kg,TM,L2,"QDD, hollow-shaft planetary family (hardware/electrical 2)",,,,,,,,Reducer class per hardware/mechanical 2: cycloidal. Exceeds the 85 Nm peak of the only module found at >=75 Nm/kg; no module identified at this torque and density.
ACT-02,actuation,"Joint actuator, hip_roll",spec 02.6; hardware/kinematics.md 1,"160 Nm peak; QDD module, >=75 Nm/kg peak over module mass",2,actuator_sizing.py at 130 kg,TM,L2,"QDD, hollow-shaft planetary family (hardware/electrical 2)",,,,,,,,Reducer class per hardware/mechanical 2: cycloidal. Exceeds the 85 Nm peak of the only module found at >=75 Nm/kg; no module identified at this torque and density.
ACT-03,actuation,"Joint actuator, hip_yaw",spec 02.6; hardware/kinematics.md 1,"81 Nm peak; QDD module, >=75 Nm/kg peak over module mass",2,actuator_sizing.py at 130 kg,TM,L2,"QDD, hollow-shaft planetary family (hardware/electrical 2)",,,,,,,,"Reducer class per hardware/mechanical 2: cycloidal. CubeMars AKH70-16 (85 Nm peak, 879 g, 88.7 Nm/kg) covers the torque; not chosen, pending D-2."
ACT-04,actuation,"Joint actuator, knee",spec 02.6; hardware/kinematics.md 1,"230 Nm peak; QDD module, >=75 Nm/kg peak over module mass",2,actuator_sizing.py at 130 kg,TM,L2,"QDD, hollow-shaft planetary family (hardware/electrical 2)",,,,,,,,Reducer class per hardware/mechanical 2: cycloidal. Exceeds the 85 Nm peak of the only module found at >=75 Nm/kg; no module identified at this torque and density.
ACT-05,actuation,"Joint actuator, ankle_pitch",spec 02.6; hardware/kinematics.md 1,"182 Nm peak; QDD module, >=75 Nm/kg peak over module mass",2,actuator_sizing.py at 130 kg,TM,L2,"QDD, hollow-shaft planetary family (hardware/electrical 2)",,,,,,,,Reducer class not assigned in hardware/mechanical 2 (ankle and waist are not in its table). Exceeds the 85 Nm peak of the only module found at >=75 Nm/kg; no module identified at this torque and density.
ACT-06,actuation,"Joint actuator, ankle_roll",spec 02.6; hardware/kinematics.md 1,"70 Nm peak; QDD module, >=75 Nm/kg peak over module mass",2,actuator_sizing.py at 130 kg,TM,L2,"QDD, hollow-shaft planetary family (hardware/electrical 2)",,,,,,,,"Reducer class not assigned in hardware/mechanical 2 (ankle and waist are not in its table). CubeMars AKH70-16 (85 Nm peak, 879 g, 88.7 Nm/kg) covers the torque; not chosen, pending D-2."
ACT-07,actuation,"Joint actuator, waist_pitch",spec 02.6; hardware/kinematics.md 1,"200 Nm peak; QDD module, >=75 Nm/kg peak over module mass",1,actuator_sizing.py at 130 kg,TM,L2,"QDD, hollow-shaft planetary family (hardware/electrical 2)",,,,,,,,Reducer class not assigned in hardware/mechanical 2 (ankle and waist are not in its table). Exceeds the 85 Nm peak of the only module found at >=75 Nm/kg; no module identified at this torque and density.
ACT-08,actuation,"Joint actuator, waist_yaw",spec 02.6; hardware/kinematics.md 1,"100 Nm peak; QDD module, >=75 Nm/kg peak over module mass",1,actuator_sizing.py at 130 kg,TM,L2,"QDD, hollow-shaft planetary family (hardware/electrical 2)",,,,,,,,Reducer class not assigned in hardware/mechanical 2 (ankle and waist are not in its table). Exceeds the 85 Nm peak of the only module found at >=75 Nm/kg; no module identified at this torque and density.
ACT-09,actuation,"Joint actuator, shoulder_pitch",spec 02.6; hardware/kinematics.md 1,"206 Nm peak; QDD module, >=75 Nm/kg peak over module mass",2,actuator_sizing.py at 130 kg,TM,L2,"QDD, hollow-shaft planetary family (hardware/electrical 2)",,,,,,,,Reducer class per hardware/mechanical 2: QDD planetary. Exceeds the 85 Nm peak of the only module found at >=75 Nm/kg; no module identified at this torque and density.
ACT-10,actuation,"Joint actuator, shoulder_roll",spec 02.6; hardware/kinematics.md 1,"151 Nm peak; QDD module, >=75 Nm/kg peak over module mass",2,actuator_sizing.py at 130 kg,TM,L2,"QDD, hollow-shaft planetary family (hardware/electrical 2)",,,,,,,,Reducer class per hardware/mechanical 2: QDD planetary. Exceeds the 85 Nm peak of the only module found at >=75 Nm/kg; no module identified at this torque and density.
ACT-11,actuation,"Joint actuator, shoulder_yaw",spec 02.6; hardware/kinematics.md 1,"60 Nm peak; QDD module, >=75 Nm/kg peak over module mass",2,actuator_sizing.py at 130 kg,TM,L2,"QDD, hollow-shaft planetary family (hardware/electrical 2)",,,,,,,,"Reducer class per hardware/mechanical 2: QDD planetary. CubeMars AKH70-16 (85 Nm peak, 879 g, 88.7 Nm/kg) covers the torque; not chosen, pending D-2."
ACT-12,actuation,"Joint actuator, elbow",spec 02.6; hardware/kinematics.md 1,"112 Nm peak; QDD module, >=75 Nm/kg peak over module mass",2,actuator_sizing.py at 130 kg,TM,L2,"QDD, hollow-shaft planetary family (hardware/electrical 2)",,,,,,,,Reducer class per hardware/mechanical 2: QDD planetary. Exceeds the 85 Nm peak of the only module found at >=75 Nm/kg; no module identified at this torque and density.
ACT-13,actuation,"Joint actuator, wrist_yaw",spec 02.6; hardware/kinematics.md 1,"20 Nm peak; QDD module, >=75 Nm/kg peak over module mass",2,actuator_sizing.py at 130 kg,TM,L2,"QDD, hollow-shaft planetary family (hardware/electrical 2)",,,,,,,,"Reducer class per hardware/mechanical 2: harmonic. CubeMars AKH70-16 (85 Nm peak, 879 g, 88.7 Nm/kg) covers the torque; not chosen, pending D-2."
