parent,find_no,child,qty,qty_basis,ref_des,notes
GEM-20100,10,GEM-20101,1,,,
GEM-20100,20,GEM-20102,1,,,
GEM-20100,30,GEM-20103,1,,,
GEM-20100,40,GEM-20104,1,,,
GEM-20100,50,GEM-20105,1,,,
GEM-20100,60,GEM-20106,1,,,
GEM-20100,70,GEM-20107,1,,,
GEM-20100,80,GEM-20108,1,,,
GEM-20200,10,GEM-20201,1,,,
GEM-20200,20,GEM-20202,1,,,
GEM-20200,30,GEM-20203,1,,,
GEM-20200,40,GEM-20204,1,,,
GEM-20200,50,GEM-20205,1,,,
GEM-20200,60,GEM-20206,1,,,
GEM-20200,70,GEM-20207,1,,,
GEM-20200,80,GEM-20208,1,,,
GEM-20300,10,GEM-20301,1,,,
GEM-20300,20,GEM-20302,1,,,
GEM-20300,30,GEM-20303,1,,,
GEM-20300,40,GEM-20304,1,,,
GEM-20300,50,GEM-20305,1,,,
GEM-20300,60,GEM-20306,1,,,
GEM-20300,70,GEM-20307,1,,,
GEM-20300,80,GEM-20308,1,,,
GEM-20400,10,GEM-20401,1,,,
GEM-20400,20,GEM-20402,1,,,
GEM-20400,30,GEM-20403,1,,,
GEM-20400,40,GEM-20404,1,,,
GEM-20400,50,GEM-20405,1,,,
GEM-20400,60,GEM-20406,1,,,
GEM-20400,70,GEM-20407,1,,,
GEM-20400,80,GEM-20408,1,,,
GEM-20500,10,GEM-20501,1,,,
GEM-20500,20,GEM-20502,1,,,
GEM-20500,30,GEM-20503,1,,,
GEM-20500,40,GEM-20504,1,,,
GEM-20500,50,GEM-20505,1,,,
GEM-20500,60,GEM-20506,1,,,
GEM-20500,70,GEM-20507,1,,,
GEM-20500,80,GEM-20508,1,,,
GEM-20600,10,GEM-20601,1,,,
GEM-20600,20,GEM-20602,1,,,
GEM-20600,30,GEM-20603,1,,,
GEM-20600,40,GEM-20604,1,,,
GEM-20600,50,GEM-20605,1,,,
GEM-20600,60,GEM-20606,1,,,
GEM-20600,70,GEM-20607,1,,,
GEM-20600,80,GEM-20608,1,,,
GEM-20700,10,GEM-20701,1,,,
GEM-20700,20,GEM-20702,1,,,
GEM-20700,30,GEM-20703,1,,,
GEM-20700,40,GEM-20704,1,,,
GEM-20700,50,GEM-20705,1,,,
GEM-20700,60,GEM-20706,1,,,
GEM-20700,70,GEM-20707,1,,,
GEM-20700,80,GEM-20708,1,,,
GEM-20800,10,GEM-20801,1,,,
GEM-20800,20,GEM-20802,1,,,
GEM-20800,30,GEM-20803,1,,,
GEM-20800,40,GEM-20804,1,,,
GEM-20800,50,GEM-20805,1,,,
GEM-20800,60,GEM-20806,1,,,
GEM-20800,70,GEM-20807,1,,,
GEM-20800,80,GEM-20808,1,,,
GEM-20900,10,GEM-20901,1,,,
GEM-20900,20,GEM-20902,1,,,
GEM-20900,30,GEM-20903,1,,,
GEM-20900,40,GEM-20904,1,,,
GEM-20900,50,GEM-20905,1,,,
GEM-20900,60,GEM-20906,1,,,
GEM-20900,70,GEM-20907,1,,,
GEM-20900,80,GEM-20908,1,,,
GEM-21000,10,GEM-21001,1,,,
GEM-21000,20,GEM-21002,1,,,
GEM-21000,30,GEM-21003,1,,,
GEM-21000,40,GEM-21004,1,,,
GEM-21000,50,GEM-21005,1,,,
GEM-21000,60,GEM-21006,1,,,
GEM-21000,70,GEM-21007,1,,,
GEM-21000,80,GEM-21008,1,,,
GEM-21100,10,GEM-21101,1,,,
GEM-21100,20,GEM-21102,1,,,
GEM-21100,30,GEM-21103,1,,,
GEM-21100,40,GEM-21104,1,,,
GEM-21100,50,GEM-21105,1,,,
GEM-21100,60,GEM-21106,1,,,
GEM-21100,70,GEM-21107,1,,,
GEM-21100,80,GEM-21108,1,,,
GEM-21200,10,GEM-21201,1,,,
GEM-21200,20,GEM-21202,1,,,
GEM-21200,30,GEM-21203,1,,,
GEM-21200,40,GEM-21204,1,,,
GEM-21200,50,GEM-21205,1,,,
GEM-21200,60,GEM-21206,1,,,
GEM-21200,70,GEM-21207,1,,,
GEM-21200,80,GEM-21208,1,,,
GEM-21300,10,GEM-21301,1,,,
GEM-21300,20,GEM-21302,1,,,
GEM-21300,30,GEM-21303,1,,,
GEM-21300,40,GEM-21304,1,,,
GEM-21300,50,GEM-21305,1,,,
GEM-21300,60,GEM-21306,1,,,
GEM-21300,70,GEM-21307,1,,,
GEM-21300,80,GEM-21308,1,,,
GEM-21400,10,GEM-21401,1,,,
GEM-21400,20,GEM-21402,1,,,
GEM-21400,30,GEM-21403,1,,,
GEM-21400,40,GEM-21404,1,,,
GEM-21400,50,GEM-21405,1,,,
GEM-21400,60,GEM-21406,1,,,
GEM-21400,70,GEM-21407,1,,,
GEM-21400,80,GEM-21408,1,,,
GEM-21500,10,GEM-21501,1,,,
GEM-21500,20,GEM-21502,1,,,
GEM-21500,30,GEM-21503,1,,,
GEM-21500,40,GEM-21504,1,,,
GEM-21500,50,GEM-21505,1,,,
GEM-21500,60,GEM-21506,1,,,
GEM-21500,70,GEM-21507,1,,,
GEM-21500,80,GEM-21508,1,,,
GEM-21600,10,GEM-21601,1,,,
GEM-21600,20,GEM-21602,1,,,
GEM-21600,30,GEM-21603,1,,,
GEM-21600,40,GEM-21604,1,,,
GEM-21600,50,GEM-21605,1,,,
GEM-21600,60,GEM-21606,1,,,
GEM-21600,70,GEM-21607,1,,,
GEM-21600,80,GEM-21608,1,,,
GEM-21700,10,GEM-21701,1,,,
GEM-21700,20,GEM-21702,1,,,
GEM-21700,30,GEM-21703,1,,,
GEM-21700,40,GEM-21704,1,,,
GEM-21700,50,GEM-21705,1,,,
GEM-21700,60,GEM-21706,1,,,
GEM-21700,70,GEM-21707,1,,,
GEM-21700,80,GEM-21708,1,,,
GEM-10000,10,GEM-11000,1,,,
GEM-11000,10,GEM-11010,1,,,
GEM-11000,20,GEM-11020,2,,,
GEM-11000,30,GEM-11030,1,,,
GEM-11000,40,GEM-11040,1,,,
GEM-11000,50,GEM-11050,16,,,
GEM-11000,60,GEM-11060,1,,,
GEM-11000,70,GEM-11070,1,,,
GEM-11000,80,GEM-11080,1,,,
GEM-11000,90,GEM-11090,1,,,
GEM-11000,100,GEM-11100,1,,,
GEM-10000,20,GEM-12000,1,,,
GEM-12000,10,GEM-21600,1,,,
GEM-12000,20,GEM-21700,1,,,
GEM-10000,30,GEM-13000,1,,,
GEM-13000,10,GEM-13010,1,,,
GEM-13000,20,GEM-13020,1,,,
GEM-13000,30,GEM-20800,1,,,
GEM-13000,40,GEM-20700,1,,,
GEM-13000,50,GEM-13030,,count IMPL; at least 1,,
GEM-13000,60,GEM-13100,1,,,
GEM-13100,10,GEM-13110,1,,,
GEM-13110,10,GEM-13111,,10.36 kWh / per-cell energy of the part chosen,,
GEM-13100,20,GEM-13120,1,,,
GEM-13100,30,GEM-13130,1,,,
GEM-13100,40,GEM-13140,1,,,
GEM-13100,50,GEM-13150,1,,,
GEM-13100,60,GEM-13160,1,,,
GEM-13100,70,GEM-13170,1,,,
GEM-13000,70,GEM-13200,1,,,
GEM-13200,10,GEM-13210,1,,,
GEM-13200,20,GEM-13220,1,,,
