assembly,op_no,work_center,operation,consumes,qty,uom,qty_basis,notes
GEM-10000,10,WC-INT,Install head assembly,GEM-11000,1,EA,,
GEM-10000,20,WC-INT,Install neck assembly,GEM-12000,1,EA,,
GEM-10000,30,WC-INT,Install torso assembly,GEM-13000,1,EA,,
GEM-10000,40,WC-INT,"Install arm assembly, left",GEM-14000,1,EA,,
GEM-10000,50,WC-INT,"Install leg assembly, left",GEM-16000,1,EA,,
GEM-10000,60,WC-INT,"Install arm assembly, right",GEM-15000,1,EA,,
GEM-10000,70,WC-INT,"Install leg assembly, right",GEM-17000,1,EA,,
GEM-10000,80,WC-INT,Install shell and protection assembly,GEM-18000,1,EA,,
GEM-10000,90,WC-INT,Install harness assembly,GEM-19000,1,EA,,
GEM-10000,100,WC-INT,Fasten and torque to drawing,GEM-10099,1,SET,,
GEM-10000,110,WC-INT,"(consumable) Threadlocker, medium strength",GEM-50010,,ML,as consumed; figure set by the work instruction,
GEM-10000,120,WC-COM,Provision root-of-trust keys; record measured-boot baseline (spec 06.2),,,,,
GEM-10000,130,WC-COM,Baseline physical fingerprints for attestation tier 2 (spec 06.3),,,,,
GEM-10000,140,WC-CAL,"Whole-body calibration: IMU, joint zero offsets, kinematics",,,,,
GEM-10000,150,WC-CAL,"End-of-line test: power states (spec 03.4), stand and balance, supported failure state (spec 07.3)",,,,,
GEM-11000,10,WC-SUB,Install head structure,GEM-11010,1,EA,,
GEM-11000,20,WC-SUB,"Install camera module, 4K 30 fps 12 bit",GEM-11020,2,EA,,
GEM-11000,30,WC-SUB,"Install thermal IR camera, 640x480 30 fps 16 bit",GEM-11030,1,EA,,
GEM-11000,40,WC-SUB,"Install liDAR / depth sensor, 300k points/s",GEM-11040,1,EA,,
GEM-11000,50,WC-SUB,"Install microphone, array element",GEM-11050,16,EA,,
GEM-11000,60,WC-SUB,Install electronic nose,GEM-11060,1,EA,,
GEM-11000,70,WC-SUB,"Install taste analyser, lab-on-chip",GEM-11070,1,EA,,
GEM-11000,80,WC-SUB,Install speaker and ultrasonic emitter,GEM-11080,1,EA,,
GEM-11000,90,WC-SUB,Install micro facial and pupil actuator set,GEM-11090,1,SET,,
GEM-11000,100,WC-SUB,Install head sensor hub PCBA,GEM-11100,1,EA,,
GEM-11000,110,WC-SUB,Fasten and torque to drawing,GEM-11099,1,SET,,
GEM-11000,120,WC-SUB,"(consumable) Threadlocker, medium strength",GEM-50010,,ML,as consumed; figure set by the work instruction,
GEM-12000,10,WC-SUB,"Install joint module, neck yaw",GEM-21600,1,EA,,
GEM-12000,20,WC-SUB,"Install joint module, neck pitch",GEM-21700,1,EA,,
GEM-12000,30,WC-SUB,Fasten and torque to drawing,GEM-12099,1,SET,,
GEM-12000,40,WC-SUB,"(consumable) Threadlocker, medium strength",GEM-50010,,ML,as consumed; figure set by the work instruction,
GEM-13000,10,WC-SUB,Install pelvis structure,GEM-13010,1,EA,,
GEM-13000,20,WC-SUB,Install torso structure,GEM-13020,1,EA,,
GEM-13000,30,WC-SUB,"Install joint module, waist yaw",GEM-20800,1,EA,,
GEM-13000,40,WC-SUB,"Install joint module, waist pitch",GEM-20700,1,EA,,
GEM-13000,50,WC-SUB,"Install iMU, torso",GEM-13030,,EA,count IMPL; at least 1,
GEM-13000,60,WC-SUB,Install power assembly,GEM-13100,1,EA,,
GEM-13000,70,WC-SUB,Install compute assembly,GEM-13200,1,EA,,
GEM-13000,80,WC-SUB,Install communications assembly,GEM-13300,1,EA,,
GEM-13000,90,WC-SUB,Install cardiac co-regulation module,GEM-13400,1,EA,"optional, not always-on",
GEM-13000,100,WC-SUB,Fasten and torque to drawing,GEM-13099,1,SET,,
GEM-13000,110,WC-SUB,"(consumable) Threadlocker, medium strength",GEM-50010,,ML,as consumed; figure set by the work instruction,
GEM-13100,10,WC-SUB,Install cell stack,GEM-13110,1,EA,,
GEM-13100,20,WC-SUB,Install battery management PCBA,GEM-13120,1,EA,,
GEM-13100,30,WC-SUB,Install pack enclosure,GEM-13130,1,EA,,
GEM-13100,40,WC-SUB,Install supercapacitor bank,GEM-13140,1,EA,,
GEM-13100,50,WC-SUB,"Install pre-charge, contactor and fuse set",GEM-13150,1,SET,,
GEM-13100,60,WC-SUB,Install power distribution and DC-DC PCBA,GEM-13160,1,EA,,
GEM-13100,70,WC-SUB,Install always-on rail PCBA,GEM-13170,1,EA,,
GEM-13100,80,WC-SUB,Fasten and torque to drawing,GEM-13199,1,SET,,
GEM-13100,90,WC-SUB,"(consumable) Threadlocker, medium strength",GEM-50010,,ML,as consumed; figure set by the work instruction,
GEM-13110,10,WC-CELL,Build cell stack,GEM-13111,,EA,10.36 kWh / per-cell energy of the part chosen,
GEM-13110,20,WC-CAL,Cell matching and stack acceptance test,,,,,
GEM-13120,10,WC-EMS,Assemble board to its PCBA BOM (from schematic),,,,,
GEM-13120,20,WC-PROG,"Program firmware image, battery management",GEM-40030,1,EA,,
GEM-13120,30,WC-CAL,Board-level functional test,,,,,
GEM-13200,10,WC-SUB,Install edge AI module,GEM-13210,1,EA,,
GEM-13200,20,WC-SUB,Install edge module carrier PCBA,GEM-13220,1,EA,,
GEM-13200,30,WC-SUB,"Install real-time controller PCBA, EtherCAT master",GEM-13230,1,EA,,
GEM-13200,40,WC-SUB,"Install audit log storage, 2 TB",GEM-13240,1,EA,,
GEM-13200,50,WC-SUB,"Install sDR front-end, 2 ch x 56 MHz",GEM-13250,1,EA,,
GEM-13200,60,WC-PROG,"Install os image, edge ai module",GEM-40080,1,EA,,
GEM-13200,70,WC-PROG,"Install gems software stack, edge ai module",GEM-40090,1,EA,,
GEM-13200,80,WC-SUB,Fasten and torque to drawing,GEM-13299,1,SET,,
GEM-13200,90,WC-SUB,"(consumable) Threadlocker, medium strength",GEM-50010,,ML,as consumed; figure set by the work instruction,
GEM-13230,10,WC-EMS,Assemble board to its PCBA BOM (from schematic),,,,,
GEM-13230,20,WC-PROG,"Program firmware image, real-time controller",GEM-40020,1,EA,,
GEM-13230,30,WC-CAL,Board-level functional test,,,,,
GEM-13300,10,WC-SUB,"Install mmWave uplink radio, 60 GHz",GEM-13310,1,EA,,
GEM-13300,20,WC-SUB,"Install fallback link module, LEO / cellular",GEM-13320,1,EA,,
GEM-13300,30,WC-SUB,Install low-power beacon radio,GEM-13330,1,EA,,
GEM-13300,40,WC-SUB,Install spatial RF sensing front-end,GEM-13340,1,EA,,
GEM-13300,50,WC-SUB,Install secure element,GEM-13350,,EA,"per node or per bus segment, IMPL",
GEM-13300,60,WC-SUB,Fasten and torque to drawing,GEM-13399,1,SET,,
GEM-13300,70,WC-SUB,"(consumable) Threadlocker, medium strength",GEM-50010,,ML,as consumed; figure set by the work instruction,
GEM-13330,10,WC-PROG,"Install firmware image, beacon radio",GEM-40040,1,EA,,
GEM-13330,20,WC-SUB,"(consumable) Threadlocker, medium strength",GEM-50010,,ML,as consumed; figure set by the work instruction,
GEM-13350,10,WC-PROG,"Install firmware image, secure element",GEM-40050,1,EA,,
GEM-13350,20,WC-SUB,"(consumable) Threadlocker, medium strength",GEM-50010,,ML,as consumed; figure set by the work instruction,
GEM-14000,10,WC-SUB,"Install joint module, shoulder pitch",GEM-20900,1,EA,,
GEM-14000,20,WC-SUB,"Install joint module, shoulder roll",GEM-21000,1,EA,,
GEM-14000,30,WC-SUB,"Install joint module, shoulder yaw",GEM-21100,1,EA,,
GEM-14000,40,WC-SUB,"Install upper arm structure, left",GEM-14010,1,EA,,
GEM-14000,50,WC-SUB,"Install joint module, elbow",GEM-21200,1,EA,,
GEM-14000,60,WC-SUB,"Install forearm structure, left",GEM-14020,1,EA,,
GEM-14000,70,WC-SUB,"Install joint module, wrist yaw",GEM-21300,1,EA,,
GEM-14000,80,WC-SUB,"Install joint module, wrist pitch",GEM-21400,1,EA,,
GEM-14000,90,WC-SUB,"Install joint module, wrist roll",GEM-21500,1,EA,,
GEM-14000,100,WC-SUB,"Install hand assembly, left, 5 DOF",GEM-14900,1,EA,,
GEM-14000,110,WC-SUB,Fasten and torque to drawing,GEM-14099,1,SET,,
GEM-14000,120,WC-SUB,"(consumable) Threadlocker, medium strength",GEM-50010,,ML,as consumed; figure set by the work instruction,
GEM-14900,10,WC-SUB,"Install hand structure, left",GEM-14910,1,EA,,
GEM-14900,20,WC-SUB,"Install finger actuator, left",GEM-14920,5,EA,,
GEM-14900,30,WC-SUB,Fasten and torque to drawing,GEM-14999,1,SET,,
GEM-14900,40,WC-SUB,"(consumable) Threadlocker, medium strength",GEM-50010,,ML,as consumed; figure set by the work instruction,
GEM-15000,10,WC-SUB,"Install joint module, shoulder pitch",GEM-20900,1,EA,,
GEM-15000,20,WC-SUB,"Install joint module, shoulder roll",GEM-21000,1,EA,,
GEM-15000,30,WC-SUB,"Install joint module, shoulder yaw",GEM-21100,1,EA,,
GEM-15000,40,WC-SUB,"Install upper arm structure, right",GEM-15010,1,EA,,
GEM-15000,50,WC-SUB,"Install joint module, elbow",GEM-21200,1,EA,,
GEM-15000,60,WC-SUB,"Install forearm structure, right",GEM-15020,1,EA,,
GEM-15000,70,WC-SUB,"Install joint module, wrist yaw",GEM-21300,1,EA,,
GEM-15000,80,WC-SUB,"Install joint module, wrist pitch",GEM-21400,1,EA,,
GEM-15000,90,WC-SUB,"Install joint module, wrist roll",GEM-21500,1,EA,,
GEM-15000,100,WC-SUB,"Install hand assembly, right, 5 DOF",GEM-15900,1,EA,,
GEM-15000,110,WC-SUB,Fasten and torque to drawing,GEM-15099,1,SET,,
