part_number,rev,description,category,make_buy,uom,unit_mass_kg,mass_basis,maturity,design_level,lifecycle,spec_ref,requirement,notes
GEM-40010,A,"Firmware image, joint drive",SW,MAKE,EA,,,TM,L0,CONCEPT,plan F-3,,Virtual part: version recorded at programming. Nothing built yet.
GEM-40020,A,"Firmware image, real-time controller",SW,MAKE,EA,,,TM,L0,CONCEPT,plan F-0 to F-11,,Virtual part: version recorded at programming. Nothing built yet.
GEM-40030,A,"Firmware image, battery management",SW,MAKE,EA,,,TM,L0,CONCEPT,plan F-9,,Virtual part: version recorded at programming. Nothing built yet.
GEM-40040,A,"Firmware image, trace radio",SW,MAKE,EA,,,TM,L0,CONCEPT,plan F-12,,Virtual part: version recorded at programming. Nothing built yet.
GEM-40050,A,"Firmware image, secure element",SW,MAKE,EA,,,TM,L0,CONCEPT,plan F-11,,Virtual part: version recorded at programming. Nothing built yet.
GEM-40060,A,"Firmware image, tactile readout",SW,MAKE,EA,,,TM,L0,CONCEPT,plan F-1,,Virtual part: version recorded at programming. Nothing built yet.
GEM-40070,A,"Firmware image, shell field driver",SW,MAKE,EA,,,TM,L0,CONCEPT,plan F-13,,Virtual part: version recorded at programming. Nothing built yet.
GEM-40080,A,"OS image, edge AI module",SW,MAKE,EA,,,TM,L0,CONCEPT,spec 07.1,,Virtual part: version recorded at programming. Nothing built yet.
GEM-40090,A,"GEMs software stack, edge AI module",SW,MAKE,EA,,,TM,L0,CONCEPT,plan S-0 to S-9,,Virtual part: version recorded at programming. Nothing built yet.
GEM-50010,A,"Threadlocker, medium strength",CONS,BUY,ML,,,TM,L0,CONCEPT,MBOM only,,
GEM-50020,A,Reducer grease,CONS,BUY,G,,,TM,L0,CONCEPT,MBOM only,,
GEM-50030,A,Thermal interface material,CONS,BUY,G,,,TM,L0,CONCEPT,MBOM only,,
GEM-50040,A,"Adhesive, shell layer bonding",CONS,BUY,ML,,,TM,L0,CONCEPT,MBOM only,,
GEM-50050,A,Cable ties and heat-shrink,CONS,BUY,SET,,,TM,L0,CONCEPT,MBOM only,,
GEM-50060,A,Shipping crate and packaging,CONS,BUY,SET,,,TM,L0,CONCEPT,MBOM only,,
GEM-20100,A,"Joint module, hip pitch",ASSY,MAKE,EA,2.594,estimate: 230 Nm peak / 88.7 Nm/kg,TM,L2,CONCEPT,spec 02.6; hardware/kinematics.md 1,230 Nm peak; >=75 Nm/kg over module mass,D-2 open: procure as one module or build from the children below. No module found at this torque and density.
GEM-20101,A,"Motor, frameless BLDC, hip pitch",OTS,BUY,EA,,,TM,L0,CONCEPT,hardware/electrical 2,,
GEM-20102,A,"Reducer, cycloidal, hip pitch",OTS,BUY,EA,,,TM,L1,CONCEPT,hardware/mechanical 2,,class per hardware/mechanical 2; conflicts with the planetary module family of hardware/electrical 2
GEM-20103,A,"Output bearing, hip pitch",OTS,BUY,EA,,,TM,L0,CONCEPT,hardware/mechanical 5,,
GEM-20104,A,"Absolute encoder, motor side, hip pitch",OTS,BUY,EA,,,TM,L0,CONCEPT,spec 05.3 proprioception,,
GEM-20105,A,"Absolute encoder, output side, hip pitch",OTS,BUY,EA,,,TM,L0,CONCEPT,spec 05.3 proprioception,,
GEM-20106,A,"Joint torque sensor, hip pitch",OTS,BUY,EA,,,TM,L0,CONCEPT,spec 05.3; spec 06.6,,
GEM-20107,A,"Joint drive PCBA, hip pitch",PCBA,MAKE,EA,,,TM,L1,CONCEPT,plan E-3,,PCBA BOM is generated from its schematic (plan E-3); none exists yet
GEM-20108,A,"Housing, 7075-T6, hip pitch",MFG,MAKE,EA,,,TM,L0,CONCEPT,hardware/mechanical 1,,
GEM-20109,A,"Fastener set, hip pitch",OTS,BUY,SET,,,TM,L0,CONCEPT,plan M-3,,
GEM-20200,A,"Joint module, hip roll",ASSY,MAKE,EA,1.803,estimate: 160 Nm peak / 88.7 Nm/kg,TM,L2,CONCEPT,spec 02.6; hardware/kinematics.md 1,160 Nm peak; >=75 Nm/kg over module mass,D-2 open: procure as one module or build from the children below. No module found at this torque and density.
GEM-20201,A,"Motor, frameless BLDC, hip roll",OTS,BUY,EA,,,TM,L0,CONCEPT,hardware/electrical 2,,
GEM-20202,A,"Reducer, cycloidal, hip roll",OTS,BUY,EA,,,TM,L1,CONCEPT,hardware/mechanical 2,,class per hardware/mechanical 2; conflicts with the planetary module family of hardware/electrical 2
GEM-20203,A,"Output bearing, hip roll",OTS,BUY,EA,,,TM,L0,CONCEPT,hardware/mechanical 5,,
GEM-20204,A,"Absolute encoder, motor side, hip roll",OTS,BUY,EA,,,TM,L0,CONCEPT,spec 05.3 proprioception,,
GEM-20205,A,"Absolute encoder, output side, hip roll",OTS,BUY,EA,,,TM,L0,CONCEPT,spec 05.3 proprioception,,
GEM-20206,A,"Joint torque sensor, hip roll",OTS,BUY,EA,,,TM,L0,CONCEPT,spec 05.3; spec 06.6,,
GEM-20207,A,"Joint drive PCBA, hip roll",PCBA,MAKE,EA,,,TM,L1,CONCEPT,plan E-3,,PCBA BOM is generated from its schematic (plan E-3); none exists yet
GEM-20208,A,"Housing, 7075-T6, hip roll",MFG,MAKE,EA,,,TM,L0,CONCEPT,hardware/mechanical 1,,
GEM-20209,A,"Fastener set, hip roll",OTS,BUY,SET,,,TM,L0,CONCEPT,plan M-3,,
GEM-20300,A,"Joint module, hip yaw",ASSY,MAKE,EA,0.909,estimate: 81 Nm peak / 88.7 Nm/kg,TM,L2,CONCEPT,spec 02.6; hardware/kinematics.md 1,81 Nm peak; >=75 Nm/kg over module mass,D-2 open: procure as one module or build from the children below.
GEM-20301,A,"Motor, frameless BLDC, hip yaw",OTS,BUY,EA,,,TM,L0,CONCEPT,hardware/electrical 2,,
GEM-20302,A,"Reducer, cycloidal, hip yaw",OTS,BUY,EA,,,TM,L1,CONCEPT,hardware/mechanical 2,,class per hardware/mechanical 2; conflicts with the planetary module family of hardware/electrical 2
GEM-20303,A,"Output bearing, hip yaw",OTS,BUY,EA,,,TM,L0,CONCEPT,hardware/mechanical 5,,
GEM-20304,A,"Absolute encoder, motor side, hip yaw",OTS,BUY,EA,,,TM,L0,CONCEPT,spec 05.3 proprioception,,
GEM-20305,A,"Absolute encoder, output side, hip yaw",OTS,BUY,EA,,,TM,L0,CONCEPT,spec 05.3 proprioception,,
GEM-20306,A,"Joint torque sensor, hip yaw",OTS,BUY,EA,,,TM,L0,CONCEPT,spec 05.3; spec 06.6,,
GEM-20307,A,"Joint drive PCBA, hip yaw",PCBA,MAKE,EA,,,TM,L1,CONCEPT,plan E-3,,PCBA BOM is generated from its schematic (plan E-3); none exists yet
GEM-20308,A,"Housing, 7075-T6, hip yaw",MFG,MAKE,EA,,,TM,L0,CONCEPT,hardware/mechanical 1,,
GEM-20309,A,"Fastener set, hip yaw",OTS,BUY,SET,,,TM,L0,CONCEPT,plan M-3,,
GEM-20400,A,"Joint module, knee",ASSY,MAKE,EA,2.594,estimate: 230 Nm peak / 88.7 Nm/kg,TM,L2,CONCEPT,spec 02.6; hardware/kinematics.md 1,230 Nm peak; >=75 Nm/kg over module mass,D-2 open: procure as one module or build from the children below. No module found at this torque and density.
GEM-20401,A,"Motor, frameless BLDC, knee",OTS,BUY,EA,,,TM,L0,CONCEPT,hardware/electrical 2,,
GEM-20402,A,"Reducer, cycloidal, knee",OTS,BUY,EA,,,TM,L1,CONCEPT,hardware/mechanical 2,,class per hardware/mechanical 2; conflicts with the planetary module family of hardware/electrical 2
GEM-20403,A,"Output bearing, knee",OTS,BUY,EA,,,TM,L0,CONCEPT,hardware/mechanical 5,,
GEM-20404,A,"Absolute encoder, motor side, knee",OTS,BUY,EA,,,TM,L0,CONCEPT,spec 05.3 proprioception,,
